Id,Keywords,Authors,Accesses,Journal,main_topic_15
1279,"['Vulnerable regions', 'Geospatial', 'Coastline change', 'Fishers', 'Sea-level increase', 'Digital shoreline analysis system (DSAS)']","Selvasekar Thirumurthy, Marappan Jayanthi, Muthusamy Samynathan & Muthusamy Duraisamy",221,Journal of Coastal Conservation,Biomedicine
1280,"['Parkinson’s disease', '\nSNCA\n', '\nGBA\n', '\nLRRK2\n', '\nPRKN (Parkin)\n', '\nPINK1\n', 'Translational', 'Monogenic', 'Genetic', 'Therapy', 'Treatment']",Jannik Prasuhn & Norbert Brüggemann,10,Molecular Medicine,Geography
1281,"['Parent management training', 'Predictors', 'Moderators', 'Child conduct problems']",Anna Dedousis-Wallace & Sophia A. Drysdale,293,Clinical Child and Family Psychology Review,Biomedicine
1282,"['Family firms', 'Ethical decision-making', 'Identification process', 'Identity work']","Friederike Sophie Reck, Denise Fischer & Malte Brettel",783,Journal of Business Ethics,Computer Science
1283,"['Alzheimer’s disease', 'Amyloid', 'Lecanemab', 'BAN2401', 'Clinical trial', 'Biomarker', 'ADCOMS', 'Amyloid PET', 'Neurofilament light', 'Neurogranin', 'p-tau']","Chad J. Swanson, Yong Zhang, Shobha Dhadda, Jinping Wang, June Kaplow, Heather Bradley, Martin Rabe, Akihiko Koyama, Larisa Reyderman & Lynn D. Kramer",326,Alzheimer's Research & Therapy,Geography 2
1284,"['Market selection', 'Market clearing', 'Posted offer market', 'Constant returns to scale', 'Experiment', 'D4', 'D83', 'L1']",Carlos Alós-Ferrer & Johannes Buckenmaier,69,Experimental Economics,Psychology
1285,"['Bureaucracy models', 'Property tax limit override', 'Regression discontinuity design', 'Fiscal effects', 'H20', ' H71', 'H72']",Wenchi Wei,83,Public Choice,Physics 2
1286,"['Thermal expansion coefficient', 'Heat capacity', 'Sublimation enthalpy', 'Young’s modulus']",Enrico Benassi,81,Continuum Mechanics and Thermodynamics,Mathematics
1287,"['Usury', 'Loan-shark', 'Illegal lending', 'Illegal credit', 'Rome', 'Italy', 'Economic crisis']",Isabella Clough Marinaro,329,Trends in Organized Crime,Computer Science
1288,"['Dimension group', '\nS-adic subshift', 'Orbit equivalence', 'Dendric subshift', 'Balance property', '37B10', '37A20']",V. Berthé,71,Monatshefte für Mathematik,Mathematics
1289,"['Hot spot', 'Crime', 'Routine activity', 'Crime pattern', 'Ambient population', 'Public transport']",Manne Gerell,401,European Journal on Criminal Policy and Research,Computer Science
1290,"['Jianghan-Dongting Basin', 'Holocene', 'hydrological environmental change', 'human-environment interaction']",Chengshuangping Zhao & Duowen Mo,83,Journal of Geographical Sciences,Philosophy
1291,"['USA-Japan comparison', 'Peer reactions', 'Peer behavior', 'Student attitudes', 'Student deviance']",Emiko Kobayashi,571,Asian Journal of Criminology,Economics 2
1292,"['Multiobjective optimization', 'Derivative-free optimization', 'Blackbox optimization', 'Mesh adaptive direct search', 'Clarke analysis.']","Jean Bigeon, Sébastien Le Digabel & Ludovic Salomon",45,Computational Optimization and Applications,Mathematics
1293,"['Unethical pro-organizational behavior (UPOB)', 'Systematic literature review', 'Future research agenda']",Madhurima Mishra,586,Journal of Business Ethics,Education
1294,[],Elizabeth Cruz & N. Aquino,36,The European Physical Journal D,Computer Science
1295,"['Coastal monitoring', 'Image analysis', 'Digital point sampling', 'Rapid ecological assessment', 'Vegetation monitoring']",Chellby R. Kilheffer,122,Journal of Coastal Conservation,Biomedicine
1296,"['Shape optimization', 'Vertex morphing', 'Geometric constraints', 'Multi-physics optimization', 'Additive manufacturing']","Aditya Ghantasala, Reza Najian Asl, Armin Geiser & Kai-Uwe Bletzinger",314,Journal of Optimization Theory and Applications,Education
1297,"['Food security', 'Agricultural Dutch disease', 'Farmland abandonment']",Svein Oskar Lauvsnes,64,"Review of Agricultural, Food and Environmental Studies",Mathematics
1298,[],Manuel Mireanu,44,Critical Criminology,Geography 2
1299,"['Payor–provider collaboration', 'Common factors', 'Practice-based evidence', 'Behavioral health\xa0managed care']","Amy D. Herschell, Patricia L. Schake, Shari L. Hutchison, Irina O. Karpov, James G. Gavin, Tiberiu Bodea Crisan & Deborah S. Wasilchak",42,School Mental Health,Psychology
1300,"['Homeless', 'Behavior problems', 'Suicide', 'Children', 'Violence']","Jennifer M. Reingle Gonzalez, Katelyn K. Jetelina, Madeline Roberts & Michiko Otsuki Clutter",571,American Journal of Criminal Justice,Geography 2
1301,"['Crime solving goals', 'Police criminal investigation policies and practices', 'Criminal investigation process', 'Latent class analysis', 'Clearance rates']",Yung Hyeock Lee,193,American Journal of Criminal Justice,Computer Science
1302,"['Spatial databases', 'Query processing', 'Obstacles', 'Trajectories', 'Visibility']","Nafis Irtiza Tripto, Mahjabin Nahar & Mohammed Eunus Ali",325,GeoInformatica,Criminology and Crime Justice
1303,"['Cancer', 'Explanation', 'Causation', 'Probability', 'Chance']",Anya Plutynski,342,Biology & Philosophy,Education
1304,"['Set of sustainable thresholds', 'Discrete-time systems', 'Mixed constraints', 'Level-set approach', 'Dynamic programming', '49L20', '93C55', '93C10']",Pedro Gajardo & Cristopher Hermosilla,203,Applied Mathematics & Optimization,Philosophy
1305,"['College students', 'Coping strategies', 'Cyberbullying', 'Higher education', 'Social media']",Virginia L. Byrne,205,TechTrends,Geography 2
1306,"['Evolutionary epistemology', 'Biosemiotics', 'Theory-ladenness', 'Pragmatism', 'Norwood Russell Hanson', 'Jakob von Uexküll']",C. David Suárez Pascal,63,Journal for General Philosophy of Science,Economics
1307,"['Nonlinear parabolic systems', 'Chemotaxis', 'Global existence', 'Boundedness', '35A01', '35B40', '35K60', '35Q92', '92C17']",Giuseppe Viglialoro,177,Applied Mathematics & Optimization,Computer Science
1308,"['lower Yellow River', 'changes in water and sediment conditions', 'Xiaolangdi Reservoir', 'geometry of main channel']","Yanjun Wang, Baosheng Wu & Deyu Zhong",93,Journal of Geographical Sciences,Economics 2
1309,"['Password good practice principles', 'Children’s books', 'Gender', 'Safety', 'Security']",Karen Renaud & Suzanne Prior,932,Early Childhood Education Journal,Psychology
1310,"['Stakeholder theory', 'Marginalized stakeholders', 'Stakeholder friction']",Kirsten Martin,171,Journal of Business Ethics,Computer Science
1311,"['Sun: filaments', 'prominences—Sun: activity—Astronomical databases: catalogues']","DONG-YI TAO, SHENG ZHENG, SHU-GUANG ZENG, JUN ZHOU & XIAO-YU LUO",80,Journal of Astrophysics and Astronomy,Economics
1312,"['Self-esteem', 'Parenting', 'Monozygotic twin difference design', 'Maternal affection', 'Paternal affection', 'Non-shared environment']",Riley L. Marshall,218,Behavior Genetics,Philosophy
1313,"['Trade policies', 'Trade restrictiveness index (TRI)', 'Global trade analysis project (GTAP)', 'Global value chains (GVCs)', 'Value added trade', 'F13', 'F17', 'D58']",Ilaria Fusacchia & Luca Salvatici,447,Economia Politica,Geography
1314,"['Prime ends', 'Caratheodory extension', 'Quasiconformal', 'Branched quasisymmetric', 'Loewner', 'Ahlfors regular', 'Poincare inequality', 'Primary 30L05', 'Secondary 30L10', '54E40']","Joshua Kline, Jeff Lindquist & Nageswari Shanmugalingam",67,The Journal of Geometric Analysis,Geography 2
1315,"['Ethnic segregation', 'Cities', 'MAUP', 'Spatial autocorrelation', 'Random segregation', 'R23', 'J15', 'J61']",Moritz Meister & Annekatrin Niebuhr,475,Review of Regional Research,Geography 2
1316,"['Policing', 'Drunk driving', 'DUI', 'Fatal crashes', 'Deterrence']",Richard J. Stringer,838,American Journal of Criminal Justice,Computer Science
1317,"['Harm reduction', 'Reduced drinking', 'Pharmacotherapy', 'Controlled drinking', 'Opioid receptors', 'Alcohol cue-reactivity', 'Striatum']","Damian Karl, J. Malte Bumb, Patrick Bach, Christina Dinter, Anne Koopmann, Derik Hermann, Karl Mann, Falk Kiefer & Sabine Vollstädt-Klein",228,Psychopharmacology,Computer Science
1318,"['discogenic pain', 'estrogen', 'inflammation', 'intervertebral disk', 'ovariectomy', 'substance P']","Xiao-Xing Song, Yan Luo & Bu-Wei Yu",254,Inflammation,Physics
1319,[],"Qiyan Liu, Jingjing Jin, Liu Yang, Song Zhang & Mengji Cao",202,Archives of Virology,Geography 2
1320,"['Organised crime', 'Policy', 'International comparative analysis', 'Foucauldian security scholarship', 'Risk society', 'Security state']",Sappho Xenakis,194,Trends in Organized Crime,Psychology 2
1321,"['Dyads', 'Anal intercourse', 'HIV risk', 'Sexual behavior', 'Sexual orientation']",Alison R. Walsh & Rob Stephenson,144,Archives of Sexual Behavior,Biomedicine
1322,"['Schopenhauer', 'Pessimism', 'Wellbeing', 'Hedonism', 'Value theory']",Patrick Hassan,56,Philosophia,Computer Science
1323,"['Gun control', 'Democracy', 'Civil resistance', 'Civil rights movement', 'Republicanism']",Dustin Crummett,594,The Journal of Ethics,Physics
1324,"['Attention', 'Memory', 'Modality', 'Selectivity', 'Spatial', 'Visual']","Alexander L. M. Siegel, Shawn T. Schwartz & Alan D. Castel",75,Memory & Cognition,Psychology 2
1325,"['Rape myth acceptance', 'Rape', 'UIRMAS', 'Scale', 'Adaptation']",Boglárka Nyúl,250,Current Psychology,Computer Science
1326,"['2D Gravity', 'Matrix Models', 'Models of Quantum Gravity']",Clifford V. Johnson & Felipe Rosso,16,Journal of High Energy Physics,Education
1327,"['Career', 'Medical', 'Preferences', 'Specialty', 'Student']",Job Kuteesa,108,BMC Medical Education,Geography 2
1328,"['Sense of belonging', 'Emotional engagement', 'Behavioral engagement', 'First-generation college students', 'Daily diary']",Cari Gillen-O’Neel,1899,Research in Higher Education,Computer Science
1329,[],"Tian Qin, Jingyuan Fu & Henkjan J. Verkade",1261,Human Genetics,Psychology 2
1330,"['Response surface methodology', 'Artificial neural network', 'Drying', 'Digital image', 'Hunter colorimeter']","Tanmay Sarkar, Molla Salauddin, Sudipta Kumar Hazra & Runu Chakraborty",41,Spatial Information Research,Psychology
1331,"['estuarine geomorphology', 'dominant factor', 'typhoon processes', 'threshold sediment flux', 'river delta', 'Hainan Island']",Gaocong Li & Yali Qi,73,Journal of Geographical Sciences,Psychology 2
1332,"['Urban transport', 'Accessibility', 'AHP', 'Trip generation', 'Transport suitability index', 'Jamshedpur city']","Santanu Dinda, Subrata Ghosh & Nilanjana Das Chatterjee",197,Spatial Information Research,Geography 2
1333,"['Corruption', 'International corruption', 'Supply-side of corruption', 'Measures of corruption', 'Judicial statistics', 'BPCI', 'Bribe Payers Corruption Index', 'Bribe Payers Index', 'H11', 'H50', 'D73', 'C18', 'C43', 'F53', 'F55']",Lucio Picci,478,European Journal on Criminal Policy and Research,Computer Science
1334,"['Alignment', 'Learning', 'Learning contexts', 'Technology integration', 'Teachers', 'Partnerships', 'Digital age']",Joke Voogt,248,Educational Technology Research and Development,Biomedicine
1335,"['Photodetachment', 'Quantum well', 'Oscillating wall', '03.65.Sq', '32.80.Gc', '31.15.xg']","Tong Shi, De-Hua Wang & Xin-Yue Sun",52,Indian Journal of Physics,Philosophy
1336,"['Unresponsive wakefulness syndrome (UWS)', 'Minimally conscious state (MCS)', 'Functional neuroimaging (fMRI)', 'Electroencephalography (EEG)', 'Surrogate decision making', 'Shared decision making']","Katja Kuehlmeyer, Maria Ruhfass & Leah Schembs",247,Neuroethics,Biomedicine
1337,"['Gravimetry', 'Geodesy', 'Geophysics', 'Geopotential', 'Geoid']",Oscar H. Lücke,47,Applied Geomatics,Biomedicine
1338,"['Perceived qualifications', 'Members’ bias', 'Misconduct', 'Management issues', 'Ethical challenges']","Omar Al Omari, Atika Khalaf & Mohammad Al Qadire",137,Journal of Academic Ethics,Mathematics
1339,"['covariance matrix', 'empirical likelihood test', 'high-dimensional data', '\nχ\n2-distribution', '62H10', '62H15']",Guili Liao & Rongmao Zhang,9,Science China Mathematics,Education
1340,"['Zonulin', 'Autism spectrum disorder', 'Gastrointestinal symptom']",Selen Karagözlü,73,Journal of Autism and Developmental Disorders,Biomedicine
1341,[],Haoran He,38,Social Choice and Welfare,Physics 2
1342,"['Emotional learning', 'Wellness', 'Text feedback', 'Video feedback', 'COVID-19', 'Online and blended learning', 'Online environments']",Regina Kaplan-Rakowski,1415,Educational Technology Research and Development,Physics 2
1343,"['Sarcoidosis', 'Neurosarcoidosis', 'Epidural sarcoidosis', 'Myelopathy']","Francesco Paglia, Luca D’Angelo, Daniele Armocida, Luigi Sampirisi & Antonio Santoro",153,Acta Neurologica Belgica,Geography
1344,"['Systematic error', 'Software effort estimation', 'Expert judgement', 'Family of experiments']",Lucas Gren,51,Requirements Engineering,Philosophy
1345,"['migration stability', 'rural labor', 'Geodetector', 'spatiotemporal characteristics', 'new-type urbanization']","Wei Deng, Shaoyao Zhang, Li Peng & Ying Liu",105,Chinese Geographical Science,Psychology
1346,"['Image quality assessment', 'Perceptual optimization', 'Performance evaluation']","Keyan Ding, Kede Ma & Shiqi Wang",1508,International Journal of Computer Vision,Physics
1347,"['Prisoner reentry', 'Public opinion', 'Correctional policy']","Heather M. Ouellette, Brandon K. Applegate & Mateja Vuk",1438,American Journal of Criminal Justice,Mathematics
1348,"['Perception', 'Mindfulness', 'Attention', 'Top-down', 'Threat']",Sungjin Im,240,Mindfulness,Psychology
1349,"['\nLarix sibirica\n', 'additive equation', 'allometric equation', 'nested regression method', 'carbon storage']","Yuanyuan Li, Qijing Liu & Guang Zhou",46,Journal of Arid Land,Psychology
1350,"['BDM', 'Attitude toward the firm', 'Corporate social responsibility', 'Tax avoidance', 'Tax uncertainty', 'WTP', 'H26', 'M41']",Inga Hardeck,892,Journal of Business Ethics,Computer Science
1351,"['Causation', 'Interventionist accounts', 'Supervenience', 'Controlled experiment', 'Experimental practice']",Tudor M. Baetu,50,Synthese,Biomedicine
1352,"['Delta4 Hexa-Motion', 'ITV', 'DQA', 'Tumor motion', 'GPR']","Shinhaeng Cho, Ick Joon Cho, Yong Hyub Kim, Jae-Uk Jeong, Mee Sun Yoon, Sung-Ja Ahn, Taek-Keun Nam & Ju-Young Song",11,Journal of the Korean Physical Society,Psychology
1353,"['Infrared and visible image matching', 'Image advancement', 'Gradient magnitude image', 'Log-Gabor filters', 'Histogram equalization']",Xiaomin Liu & Jun-Bao Li,63,Multimedia Tools and Applications,Computer Science
1354,"['Uncertainty estimation', 'MC-dropout', 'Bayesian approximation', 'Risk and uncertainty', 'Bitcoin data']","Ismail Alarab, Simant Prakoonwit & Mohamed Ikbal Nacer",506,Neural Processing Letters,Mathematics
1355,"['The death penalty', 'Wrongful conviction rate', 'Public opinion']",Sishi Wu,33,Journal of Experimental Criminology,Computer Science
1356,"['High-grade glioma', 'Seizures', 'Radiotherapy', 'Radio-chemotherapy', 'Seizure diary']",Dirk Rades & Jaspar Witteler,115,BMC Cancer,Computer Science
1357,"['Asian culture', 'Australian curriculum', 'global education', 'international approach', 'policy analysis']",Karen Guo,28,Frontiers of Education in China,Education
1358,"['Continuous-variable quantum key distribution', 'Measurement-device-independent', 'Gaussian modulation', 'Multi-mode state']",Chao Ding & Wei Zhang,98,International Journal of Theoretical Physics,Psychology
1359,"['Ribbon graph', 'Partial duality', 'Poincaré dual', 'Petrie dual', 'Rotation system', 'Euler-genus', 'Genus polynomial', 'Gray code', 'Primary: 05C10']",Jonathan L. Gross,29,Journal of Algebraic Combinatorics,Computer Science
1360,"['Resilience', 'Multisystem resilience', 'Coping strategies', 'Exposure to intimate partner violence', 'Qualitative research']",Margherita Cameranesi,387,Adversity and Resilience Science,Computer Science
1361,"['Gallbladder cancer', 'INPP4B', 'Tumour suppressor gene', 'Oncogene', 'Prognostic biomarker']","Youliang Wu, Xin Xu, Yexiang You & Yongxiang Li",0,BMC Cancer,Economics 2
1362,"['Ensemble coding', 'Summary statistical perception', 'Shape perception', 'Global', 'Local']",Timothy D. Sweeny & Andrew Bates,257,"Attention, Perception, & Psychophysics",Education
1363,"['Urbanization', 'Coal consumption', 'CO2 emissions', 'Fourier expansion', 'Granger causality', 'Bootstrapping procedure', 'Quantile regression', 'China', 'C22', 'Q44', 'Q53', 'R11']",Kai Cheng,132,Letters in Spatial and Resource Sciences,Biomedicine
1364,"['Russian Far East', 'mineral resources', 'raw mineral resources', 'transport complex', 'transport accessibility of deposits']",Yu. A. Arkhipova,19,Geography and Natural Resources,Education
1365,"['General relativity', 'Laws of nature', 'Necessity', 'Bianchi identities', 'Humeanism', 'Background independence']",Antonio Vassallo,496,Synthese,Psychology
1366,"['Note taking', 'Assistive technology', 'Accommodation', 'Student perspective']",Lauren Tucker & Bogdan Zamfir,16,Universal Access in the Information Society,Biomedicine
1367,"['Blood source', 'Arbovirus', 'Usutu virus', 'Transmission', '\nCulex pipiens\n', 'Mosquito', 'Vector competence']","Sandra R. Abbo, Gorben P. Pijlman & Haidong Wang",396,Parasites & Vectors,Philosophy
1368,"['Financial markets', 'Subsidies', 'Tax', 'Development bank', 'G18', 'G21', 'H21', 'O41']",Reynaldo Senra Hodelin,35,Economic Change and Restructuring,Psychology
1369,[],Joost Engelfriet,92,Acta Informatica,Physics
1370,"['Malignant struma ovarii', 'Thyroid carcinoma', 'Surgery', 'Adjuvant therapy', 'Prognosis']","Sijian Li, Yang Xiang, Xiaoyan Li, Limeng Zhang & Shan Deng",103,BMC Cancer,Computer Science
1371,"['Apoptosis', 'neuroinflammation', 'mitochondria', 'PARP-1, TRPM2 channel']",Mustafa Güzel,36,Inflammation,Geography
1372,"['Borderline features', 'Course', 'Adolescents']","Carla Sharp, Salome Vanwoerden & Matthew W. Gallagher",300,Research on Child and Adolescent Psychopathology,Geography
1373,"['LGBT', 'Suicidality', 'Crisis services', 'Minority stress', 'Depression', 'PTSD']",Anthony Fulginiti,1185,Journal of Youth and Adolescence,Mathematics
1374,"['Heterogeneous agents', 'Consumption heuristics', 'Intertemporal preferences', 'Hand-to-mouth consumers', 'Rule-of-thumb savers', 'O41', 'E21', 'D15', 'C61']",Orlando Gomes,105,Journal of Economic Interaction and Coordination,Education
1375,"['urban agglomeration', 'optimization transmission theory of multiscale urban spaces', 'intensive space utilization', 'technical pathways']",Chuanglin Fang,110,Chinese Geographical Science,Computer Science
1376,"['OFDM', 'SLM', 'PTS', 'TSHO-PTS', 'CP-OFDM']",Mrinmoy Sarkar,76,Photonic Network Communications,Economics
1377,"['Qinling-Daba Mountains', 'mountain altitudinal belt', 'latitude', 'longitude', 'quadratic curve']","Fang Zhao, Junjie Liu, Wenbo Zhu & Lianqi Zhu",44,Journal of Geographical Sciences,Psychology
1378,"['Network', 'Interdisciplinary', 'Inter-institutional', 'Collaborations', 'Transfer students', 'STEM education transformation']",Jessica Santangelo,1782,International Journal of STEM Education,Geography
1379,"['Computer-based learning', 'Student emotions', 'Student teacher connection', 'Online learning']",Karol Ann Moore,184,Educational Technology Research and Development,Biomedicine
1380,"['Beyond Standard Model', 'Higgs Physics', 'Thermal Field Theory']",Wei Liu,18,Journal of High Energy Physics,Biomedicine
1381,"['\nCDR index', 'GDP', 'Capitalism', 'Democracy', 'Rule of law', 'Entrepreneurship']",Dennis Ridley,139,Journal of the Knowledge Economy,Psychology
1382,"['Self-regulatory organizations', 'Meta-regulation', 'Governmental oversight', 'Simultaneous versus sequential games', 'Economics experiments', 'C72', 'G18', 'G28', 'K20', 'L44']",Silvester van Koten,94,Journal of Regulatory Economics,Psychology
1383,"['Procedural justice', 'Police', 'Experiment', 'Asymmetry', 'Traffic stops']",Edward R. Maguire,2835,Journal of Experimental Criminology,Computer Science
1384,"['Autism spectrum disorder', 'TMS', 'Event-related gamma oscillations', 'Ringing decay']","Manuel F. Casanova, Emily L. Casanova & Estate M. Sokhadze",0,Applied Psychophysiology and Biofeedback,Geography
1385,"['Supersymmetric Gauge Theory', 'Higgs Physics', 'Scattering Amplitudes']",Lance J. Dixon,8,Journal of High Energy Physics,Physics 2
1386,"['High-order methods', 'Spectral analysis', 'Numerical diffusion/dispersion']","Niccolò Tonicello, Guido Lodato & Luc Vervisch",5,Journal of Scientific Computing,Education
1387,"['WSN', 'Ant Lion optimization clustering algorithm', 'Class-based association rules', 'Edible mushroom', 'Identification']",G. Devika,0,SN Computer Science,Education
1388,"['Patient privacy', 'Patient autonomy', 'Ethical dilemma case', 'China', 'The United States', 'Law', 'Culture', 'Bioethics']",Hui Zhang & Zhenxiang Zhang,1966,BMC Medical Ethics,Psychology
1389,"['Education', 'Medical', 'Professionalism', 'Anatomy', 'Students', 'Medical', 'Teaching']","Emilia G. Palmer, Rohin K. Reddy & William Laughey",849,Medical Science Educator,Education
1390,"['Micropolar continuum', 'Cosserat elasticity', 'Size effect', 'Skin effect', 'Hydrogen accumulation', 'Stress-induced diffusion']","Ksenia P. Frolova, Elena N. Vilchevskaya, Vladimir A. Polyanskiy & Yuriy A. Yakovlev",52,Continuum Mechanics and Thermodynamics,Education
1391,"['High research performance authors', 'Prolific authors', 'Highly cited authors', 'Library and information science']",Yu-Wei Chang,223,Scientometrics,Criminology and Crime Justice
1392,"['regional environment assessment', 'cloud platform', 'Google Earth Engine (GEE)', 'land use', 'Macquarie-Castlereagh catchment']",Hantian Wu,68,Chinese Geographical Science,Computer Science
1393,"['changes in natural environment', 'core of the Earth', 'degassing of the subsoil', 'ozone', 'Arctic', 'Western Siberia']",K. N. Dyakonov & A. Yu. Reteyum,24,Geography and Natural Resources,Geography
1394,[],Ron Mallon,101,Review of Philosophy and Psychology,Computer Science
1395,"['Moral reasoning', 'Mindfulness', 'Moral responsibility']",Cherise Small & Charlene Lew,1227,Journal of Business Ethics,Education
1396,"['chemical bond', 'uranium hexafluoride', 'sodium fluoride', 'sodium fluorouranates', 'uranium isotopes', 'decomposition temperature']",O. B. Gromov,1,Russian Physics Journal,Mathematics
1397,[],Leandro Schclarek Mulinari,2738,Critical Criminology,Mathematics
1398,"['Schizophrenia', 'RELN gene', 'Polymorphism', 'Risk', 'Meta-analysis']",Sadiatul Marzan,239,Journal of Molecular Neuroscience,Education
1399,"['Ally', 'Food sovereignty', 'Food systems', 'Scholar-activist', 'Social movement']",Charles Z. Levkoe,314,Agriculture and Human Values,Geography
1400,"['Smart cities', 'Information', 'Stakeholders', 'Big data', 'Capacity', 'Capability', 'Intelligence', 'Cascade', 'Decomposition', 'Flying disc', 'Blowing-up principle']",Karima Kourtit,424,Asia-Pacific Journal of Regional Science,Geography
1401,"['Programming via hybrid interface', 'Blockly', 'Python programming language', 'Computer programming anxiety', 'Cognitive load', 'High school students’ achievement']",Alper Unal,37,Education and Information Technologies,Psychology
1402,"['D02', 'D22', 'D23', 'L25', 'L60', 'L80', 'O30']",Muhammad Faraz Riaz & Uwe Cantner,649,"Crime, Law and Social Change",Education
1403,"['Soil erosion', 'Algeria', 'USLE/RUSLE', 'AHP', 'Geomatics']",Ali Mihi & Noureddine Benarfa,389,Applied Geomatics,Geography 2
1404,"['Education', 'Humanism', 'India', 'Kural', 'Paulo Freire', 'Thiruvalluvar']",Devin K. Joshi,66,Studies in Philosophy and Education,Computer Science
1405,"['MEK inhibitor', 'Neurofibromatosis', 'NF1', 'NF2', 'Schwannomatosis', 'LGG', 'Neurofibroma', 'MPNST', 'Glioblastoma', 'RASopathy']",Anja Harder,69,Biomarker Research,Mathematics
1406,[],"M. D. Proyavin, A. A. Vikharev, A.E. Fedotov, D. I. Sobolev, N.Yu. Peskov, P. B. Makhalov, M.Yu. Shmelev & S.V. Kuzikov",0,Radiophysics and Quantum Electronics,Computer Science
1407,"['Optical biopsy', 'Gastric cancer', 'Flexible instrument', 'Force sensing', 'Mosaicking']","Zhongyuan Ping, Tianci Zhang, Lun Gong, Chi Zhang & Siyang Zuo",0,Annals of Biomedical Engineering,Psychology 2
1408,"['Clifford algebra', 'geometric algebra', 'inner automorphism', 'Lie group', 'Lipschitz group', 'Clifford group', 'spin group', 'Primary 15A66', 'Secondary 11E88']",Dmitry Shirokov,30,Advances in Applied Clifford Algebras,Education
1409,[],A. Ligia Focsan,133,Applied Magnetic Resonance,Education
1410,"['Macro-level strain theory', 'School-level strain', 'Self-destructive behavior', 'Other-directed behavior', 'China']",Xi Chen,439,Asian Journal of Criminology,Education
1411,"['Multi-objective optimization', 'Recursive feature elimination', 'Neural nets', 'Genetic algorithm']","Shivendra Singh, Anubha Agrawal, Hariprasad Kodamana & Manojkumar Ramteke",98,Neural Processing Letters,Psychology
1412,"['Partial privatisation', 'State holding corporation', 'Corporate social responsibility', 'Multiproduct firms', 'Oligopoly', 'L22', 'M14', 'Q56', 'Q58']",Quan Dong,133,Journal of Economics,Mathematics
1413,"['Early care and education', 'Preschool', 'Exclusionary discipline', 'Discipline']",Alysse Loomis,254,Early Childhood Education Journal,Economics 2
1414,"['Lung cancer', 'Clinical pathway', 'Bronchoscopy', 'Pulmonary nodule', 'Biopsy frequency', 'Staging']",Yichen Zhang & Lizheng Shi,314,BMC Cancer,Computer Science
1415,"['Mackey Lie algebra', 'Tensor module', 'Monoidal category', 'Koszulity', 'Grothendieck category', 'Semi-artinian', '17B65', '17B10', '18M05', '18E10', '16T15', '16S37']",Alexandru Chirvasitu,93,Applied Categorical Structures,Physics
1416,"['Medical student wellbeing', 'Trait anxiety', 'Mindfulness traits', 'Perceived stress', 'Psychosomatic problems', 'Sleep‐wake quality']","E. Fino, M. Martoni & P. M. Russo",350,Advances in Health Sciences Education,Education
1417,"['Controlled cyclic remote state preparation', 'Cluster state', 'Positive operator-valued measurement']","Yong Hong Li, Liang Ming He & Ping Zhou",29,International Journal of Theoretical Physics,Computer Science
1418,"['Awe', 'Symmetric relation', 'Non-symmetric relations', 'Asymmetric relations', 'Cosmic value', 'Cosmic significance', 'Empirical research in academic psychology', 'Nagel', 'Camus']",Daniel Coren,150,Philosophia,Physics
1419,"['Advance care planning', 'Advance directives', 'Prisoners', 'Corrections', 'End-of-life care']","Ashley Macleod, Divya Nair, Ekin Ilbahar, Marcus Sellars & Linda Nolte",1265,Health & Justice,Criminology and Crime Justice
1420,"['Juvenile justice', 'Community supervision', 'Substance use prevention']",Jessica M. Sales,2052,Health & Justice,Mathematics
1421,"['Early trauma', 'Dissociative identity disorder', 'Dissociation', 'Psychopathology', 'Adolescents', 'Depression']","Tuba Mutluer, Parmis Fatih, Emre Tayakısı, Moh’d Kamal Yahya Shabshog, Merve Çapacı & Deniz Yürük",4,Journal of Child & Adolescent Trauma,Garbage
1422,"['Family child care providers', 'Early childhood education', 'Child care licensing regulations', 'Home based providers', 'Child care services', 'Provider wellbeing', 'Family child care business']",Emily R. Herman & Meghan L. Breedlove,21,Child & Youth Care Forum,Computer Science
1423,"['Q-switched fiber laser', 'Copper telluride (Cu2Te)', 'Saturable absorber', 'Wavelength tunable laser']","Harith Ahmad, Nur Fatini Azmy, Siti Aisyah Reduan & Norazriena Yusoff",26,Optical and Quantum Electronics,Computer Science
1424,"['binding agents', 'glomalin', 'organic carbon', 'soil property', 'soil aggregate stability']","Hang Jing, Min Meng, Guoliang Wang & Guobin Liu",15,Journal of Arid Land,Mathematics
1425,[],J. D. Jaspers,1933,"Crime, Law and Social Change",Geography 2
1426,"['COVID-19', 'Time-to-Treatment', 'Risk Evaluation and Mitigation', 'Head and Neck Neoplasms', 'Mortality']",Leandro L. Matos,1155,Cancer Causes & Control,Economics 2
1427,"['Cultural evolutionary theory', 'Cultural change', 'Kinetic theory', 'Population thinking', 'Evolutionary forces', 'Dynamical theory']",Lorenzo Baravalle,281,Synthese,Education
1428,"['EDX', 'SEM', 'Raman', 'Thermal stability', 'Radiation protection', 'Transmission factor']",G. Kilic & E. Ilik,84,Applied Physics A,Mathematics
1429,"['5G', 'Heterogeneous network', 'Unmanned aerial vehicle', 'MmWave', 'Path loss', 'Rain-fade attenuation', 'Data rate']",Mobasshir Mahbub,37,International Journal of Information Technology,Biomedicine
